,km,nq,yd,gk,yj,tq,nb,re,ui,fd,ii,es,fb,hm,kv,tk,aa,lx,xe,gg,lu,fl,jg,fy,ti,dn,pa,qd,bc,od,vp,la,oo,sh,kg,lo,so,sn,ne,nm,vg,fc,aq,label
22,100,45,48,61,7,4,70,56,0,4,21,83,10,100,33,44,76,91,83,22,17,5,65,23,34,47,20,85,83,81,47,34,56,37,60,30,31,91,65,28,90,96,78,Kosher LeMehadrin
23,83,73,51,5,80,11,34,50,63,89,97,66,39,86,69,51,71,71,55,65,58,33,85,28,98,55,23,82,54,1,1,23,62,19,10,71,61,90,55,71,88,41,24,Glatt Kosher
24,97,31,51,43,90,56,55,60,47,68,91,88,5,65,91,0,92,67,49,27,82,1,44,23,25,88,93,55,82,18,83,29,4,28,39,58,1,94,6,3,6,88,69,Kosher LeMehadrin
25,40,64,54,63,61,48,46,76,95,33,68,99,20,53,86,96,11,40,52,32,4,56,81,19,51,97,15,75,14,18,50,62,2,33,79,14,83,56,99,66,37,98,41,Non Kosher
26,10,15,35,35,99,65,40,82,5,98,0,9,86,53,1,49,12,96,23,93,44,84,96,37,24,60,89,90,100,62,80,38,4,100,5,26,5,36,33,10,43,15,21,Kosher LeMehadrin
27,28,16,1,7,74,17,34,73,75,44,63,33,60,61,34,0,5,3,0,68,71,40,62,62,52,87,2,53,82,47,79,12,5,83,7,50,12,55,76,64,13,68,40,Kosher LeMehadrin
28,76,14,71,59,60,77,14,11,98,0,96,70,55,79,27,90,27,23,18,98,45,58,16,92,73,52,20,41,45,9,92,82,65,34,34,79,20,84,76,68,43,60,37,Non Kosher
29,11,43,16,78,86,25,3,14,81,15,33,65,78,60,0,49,77,28,42,97,80,95,58,68,67,6,63,52,56,20,25,14,56,80,53,23,86,39,41,42,88,11,77,Kosher LeMehadrin
30,8,97,95,43,29,82,36,94,34,84,86,41,72,58,73,33,29,7,53,54,37,69,91,29,88,78,89,85,95,81,22,10,49,84,25,25,44,77,26,43,9,28,71,Kosher LeMehadrin
31,86,33,79,26,14,21,62,23,72,91,95,16,59,66,7,10,6,40,7,69,60,76,43,46,37,86,3,26,75,14,68,9,82,89,25,35,61,24,74,41,79,100,24,Kosher LeMehadrin
32,84,41,6,29,92,83,80,33,70,64,40,81,47,13,3,88,17,50,8,24,17,7,57,5,22,10,79,26,37,6,76,80,27,3,84,93,11,71,93,47,43,29,74,Non Kosher
33,50,29,18,77,52,87,60,28,36,3,3,48,16,78,28,25,39,88,13,48,21,31,2,38,46,94,76,19,94,53,69,9,65,90,66,4,32,97,26,19,61,78,21,Kosher LeMehadrin
34,72,46,39,31,71,67,71,46,83,9,89,71,31,66,67,81,88,28,49,47,6,82,62,92,3,58,17,41,74,63,57,89,55,62,97,85,7,19,57,18,16,93,100,Non Kosher
35,82,84,54,38,37,7,16,64,4,17,87,45,20,88,71,98,73,20,34,5,76,4,57,62,97,50,59,17,93,52,80,57,96,17,10,69,22,71,53,95,74,15,60,OU Kosher
36,35,28,95,26,67,20,91,7,82,43,16,87,53,65,17,3,88,79,37,30,50,23,19,19,40,70,5,94,68,79,51,18,89,19,55,16,88,70,35,22,4,50,12,Kosher LeMehadrin
37,66,89,100,0,24,61,23,31,9,88,45,10,24,93,41,89,70,94,70,55,93,35,59,72,60,100,11,9,38,100,20,25,43,68,83,42,71,95,83,44,85,92,93,Glatt Kosher
38,1,84,44,50,85,91,92,83,24,74,94,65,55,92,27,35,53,65,55,90,22,29,80,9,62,93,74,28,45,75,12,26,28,60,81,9,14,49,50,53,80,12,99,Kosher LeMehadrin
39,53,53,41,48,34,25,60,2,18,34,92,73,60,0,40,65,55,7,35,76,41,45,82,4,44,98,45,52,9,42,57,99,11,23,70,41,8,6,93,15,72,85,27,Non Kosher
40,33,89,5,39,2,51,28,19,25,77,63,86,38,3,0,24,53,52,86,0,53,62,37,20,4,98,48,93,59,72,72,14,84,64,36,12,40,47,17,66,8,17,84,Kosher LeMehadrin
41,75,77,7,42,63,96,86,65,89,3,55,62,16,2,39,81,23,11,72,91,5,72,42,5,45,40,96,14,18,93,42,1,24,88,34,13,85,15,67,11,85,98,93,Glatt Kosher
42,46,15,25,29,68,90,65,58,57,59,49,7,30,23,43,24,54,29,74,0,44,96,81,60,78,42,72,26,70,72,33,100,50,15,25,99,32,87,67,44,85,19,79,OU Kosher
43,4,62,0,30,35,81,98,23,68,20,34,88,41,39,42,75,87,58,34,36,76,26,45,62,28,0,59,77,47,36,19,10,55,72,3,9,65,50,55,36,21,41,18,Glatt Kosher
44,73,65,25,91,48,83,85,2,73,58,11,95,84,87,11,35,2,39,13,42,59,35,97,91,92,65,95,23,85,71,4,52,54,60,22,1,13,88,76,4,41,26,44,Non Kosher
45,88,94,5,47,64,96,78,55,21,24,49,43,96,79,22,87,98,68,19,40,63,68,23,50,12,44,79,53,25,20,70,5,68,61,93,39,72,38,9,8,75,76,73,Glatt Kosher
46,84,51,23,88,54,42,58,100,71,99,48,55,19,25,23,43,83,75,38,21,41,82,42,89,21,4,13,16,57,42,59,4,98,66,49,94,2,42,98,18,53,64,50,Kosher LeMehadrin
47,66,92,21,60,43,44,77,13,58,33,68,15,96,43,32,23,94,31,46,49,73,73,23,6,28,88,94,49,83,57,48,58,68,8,70,72,65,95,67,79,52,31,54,OU Kosher
48,53,76,92,8,74,86,96,14,15,55,23,48,30,100,80,34,66,81,79,98,86,40,53,92,85,59,40,58,36,67,10,100,41,92,48,76,11,29,35,39,23,1,51,OU Kosher
49,92,15,41,10,41,67,16,88,66,82,10,16,35,80,85,69,76,82,90,10,96,56,81,34,13,40,20,32,56,91,27,100,49,99,83,94,2,9,39,80,26,72,61,OU Kosher
50,35,11,34,95,55,65,37,44,97,14,87,6,65,9,40,99,0,16,45,46,91,84,8,72,92,14,29,100,0,34,19,15,65,19,54,28,74,9,97,44,16,19,56,Glatt Kosher
51,36,78,50,60,90,40,36,62,3,49,80,100,8,37,71,65,88,11,73,83,85,88,36,79,66,78,15,6,14,96,3,6,3,18,89,34,8,100,16,29,98,95,52,Glatt Kosher
52,19,24,57,55,49,31,17,64,57,100,56,71,59,47,15,88,50,69,98,57,1,43,89,37,1,99,44,66,33,32,90,5,11,26,15,42,56,22,29,96,17,13,72,Glatt Kosher
53,86,25,63,14,22,76,56,7,4,68,57,72,68,28,8,16,19,48,22,59,34,81,43,36,64,95,72,48,50,93,74,7,83,64,17,9,31,13,83,13,61,89,15,Kosher LeMehadrin
54,15,61,50,53,59,69,74,34,11,86,20,56,88,9,54,82,91,99,37,74,96,32,19,94,95,29,47,58,80,92,64,1,23,35,50,96,49,73,44,11,90,1,33,Glatt Kosher
55,77,42,46,59,2,61,12,13,50,5,0,70,76,69,36,90,84,91,0,78,46,3,88,50,61,58,69,70,99,77,89,76,94,30,44,48,32,28,46,28,18,57,88,Non Kosher
56,36,39,39,59,78,51,93,66,56,88,52,41,24,2,69,46,20,75,40,24,62,45,64,70,7,25,33,17,71,82,4,69,78,56,59,75,5,18,60,79,96,62,54,OU Kosher
57,12,60,90,96,32,4,64,4,66,61,34,13,17,69,99,87,20,98,2,20,39,70,67,70,37,85,74,15,2,67,56,17,27,84,50,20,66,5,28,71,20,35,23,Glatt Kosher
58,98,40,64,75,42,75,23,51,4,30,98,44,52,56,96,34,32,4,38,92,26,93,92,88,74,52,3,7,41,100,89,12,41,69,67,7,33,28,93,24,17,32,84,Kosher LeMehadrin
59,29,5,69,78,87,83,76,47,63,75,71,81,56,69,74,57,32,93,24,23,24,52,9,96,96,15,61,4,98,93,17,88,98,90,81,29,31,59,42,78,14,34,56,Non Kosher
60,19,86,36,0,90,70,18,84,45,47,79,23,16,46,22,45,87,94,35,15,44,73,7,89,60,84,48,87,2,89,73,87,57,7,64,21,42,53,37,3,18,25,35,OU Kosher
61,88,56,23,11,51,14,51,49,89,56,45,9,55,31,88,18,51,88,82,6,72,60,34,55,76,72,13,91,61,57,26,47,28,79,25,93,9,36,74,95,67,11,47,Kosher LeMehadrin
62,98,79,99,82,72,28,35,74,72,15,80,33,0,29,14,86,25,57,56,44,47,81,33,72,71,0,74,48,61,86,6,73,32,87,32,19,53,1,10,28,60,83,46,OU Kosher
63,74,42,77,11,84,78,56,42,67,66,4,2,47,95,24,97,4,22,47,14,80,20,25,79,4,45,55,52,32,34,25,36,40,19,0,72,42,88,75,80,13,42,2,Glatt Kosher
64,47,82,84,47,73,81,42,9,99,38,16,61,0,20,42,55,84,22,15,19,63,40,100,21,19,26,27,25,85,42,88,56,31,13,19,21,23,52,46,43,27,43,5,Non Kosher
65,75,24,75,31,100,76,43,52,0,88,71,32,84,86,81,100,30,75,33,33,5,7,29,39,38,27,4,15,71,48,74,11,14,75,49,7,39,75,94,20,13,77,81,Glatt Kosher
66,57,61,100,9,64,20,91,28,80,22,37,86,50,26,76,30,81,99,63,88,100,36,89,90,39,92,6,71,53,89,82,10,53,2,98,83,26,42,87,100,11,12,82,Kosher LeMehadrin
67,19,44,17,23,25,80,74,67,88,39,48,25,63,78,89,85,50,60,66,31,19,43,21,40,75,56,50,14,27,2,63,67,86,18,57,95,11,20,55,11,69,3,7,OU Kosher
68,22,6,62,5,37,64,80,91,38,38,78,0,59,39,72,88,55,68,73,52,3,45,99,81,25,69,67,48,68,6,71,19,63,92,4,4,75,65,99,80,72,82,62,Glatt Kosher
69,86,68,31,92,56,32,51,41,46,44,45,44,24,14,6,62,47,15,79,46,6,59,35,77,82,91,61,17,41,6,64,74,32,42,58,35,74,57,2,76,4,55,36,OU Kosher
70,90,61,44,95,28,0,11,82,61,77,51,52,96,36,10,77,27,88,41,3,35,58,79,84,19,75,4,25,42,96,59,52,62,79,32,91,75,22,10,48,46,53,57,Non Kosher
71,56,37,35,65,92,13,0,18,33,18,26,96,39,69,21,88,25,87,95,95,22,54,60,60,59,56,72,55,85,14,55,91,65,96,40,93,82,40,20,15,86,43,16,Non Kosher
72,51,12,69,77,51,81,81,96,72,60,71,78,78,40,92,63,40,37,45,48,52,76,31,46,55,20,39,26,76,3,43,100,65,36,42,45,3,95,58,16,82,92,16,Non Kosher
73,49,82,35,47,53,90,77,76,63,29,0,76,30,30,56,71,4,94,97,54,69,0,6,70,2,23,76,25,11,39,82,11,40,100,44,99,0,36,34,65,89,21,42,Glatt Kosher
74,4,33,37,22,22,83,78,54,46,61,91,96,51,30,99,63,4,28,70,58,34,99,68,37,47,99,82,95,89,47,11,29,51,24,75,52,50,100,63,25,19,29,14,Glatt Kosher
75,89,69,27,4,79,67,72,99,44,77,63,97,90,20,9,67,50,51,32,91,7,92,13,33,80,30,52,13,21,22,62,42,50,58,3,65,8,66,96,10,53,50,46,Glatt Kosher
76,79,90,33,68,60,51,54,42,88,19,25,18,53,14,78,44,64,33,86,80,40,53,68,63,37,1,89,22,36,0,1,8,70,45,51,26,95,10,40,32,69,68,37,Kosher LeMehadrin
77,50,90,59,15,6,54,89,22,54,75,50,46,67,94,35,14,72,23,29,19,34,29,16,36,63,64,89,4,85,59,47,37,58,82,91,8,56,10,74,43,24,19,31,Kosher LeMehadrin
78,66,5,15,54,65,21,6,80,35,79,77,73,7,77,33,76,90,4,81,20,27,22,29,6,99,16,31,34,50,55,99,99,5,7,8,43,48,15,70,13,59,47,18,Non Kosher
79,65,62,55,40,42,20,30,4,91,90,31,44,5,77,21,93,24,28,73,99,15,20,76,83,49,11,99,4,83,87,38,5,52,62,43,6,98,54,54,20,3,39,94,Glatt Kosher
80,20,2,15,27,44,13,51,38,76,27,28,95,84,76,46,84,54,40,67,59,38,3,70,79,95,9,95,50,15,61,86,7,43,1,91,85,1,40,30,91,61,81,74,Glatt Kosher
81,51,75,4,44,45,28,65,82,12,56,4,64,80,25,14,96,3,13,93,55,99,84,88,17,38,34,97,63,40,15,64,91,34,10,28,34,26,91,32,35,72,82,47,Non Kosher
82,7,67,53,96,53,33,88,54,100,100,14,58,96,4,74,73,13,56,88,25,87,52,42,25,18,23,9,85,44,67,5,27,35,54,70,0,27,14,41,78,55,0,78,Glatt Kosher
83,67,44,93,73,97,40,99,73,23,10,14,90,24,68,25,18,91,21,52,13,7,59,82,25,9,21,15,100,39,18,54,53,51,43,43,98,92,63,1,65,39,70,75,Non Kosher
84,90,44,43,28,77,26,25,33,100,25,35,5,28,84,33,70,57,40,91,49,100,76,13,91,90,98,7,56,40,75,25,71,46,16,61,73,77,95,27,62,27,32,60,OU Kosher
85,56,43,51,82,10,47,82,64,31,78,97,91,85,6,22,34,26,60,97,1,6,10,32,3,86,21,67,81,16,64,93,48,93,34,48,47,57,66,6,29,86,22,46,Kosher LeMehadrin
86,85,52,85,97,87,41,88,55,7,39,86,86,8,2,19,54,59,14,36,33,93,61,86,71,35,82,15,18,16,18,78,48,33,23,48,40,0,56,52,33,89,16,80,Glatt Kosher
87,12,37,100,100,10,16,9,70,77,23,65,23,64,37,45,39,85,33,85,88,65,80,15,53,73,33,56,37,8,84,59,62,69,80,81,39,64,13,19,27,46,48,18,OU Kosher
88,52,76,7,91,81,2,1,67,39,47,8,63,18,43,10,14,91,7,34,37,64,18,62,24,5,70,12,90,43,36,100,19,54,74,63,12,12,84,46,83,81,77,62,Kosher LeMehadrin
89,38,26,66,85,16,10,20,41,71,99,57,29,68,69,69,81,99,76,62,66,74,81,45,65,68,32,14,18,4,47,11,99,60,58,56,90,54,83,49,23,76,44,79,OU Kosher
90,83,7,55,63,59,61,69,17,38,99,84,17,41,75,92,4,27,5,11,37,82,100,21,73,28,61,0,5,16,59,20,96,67,22,47,72,98,38,95,10,0,79,99,OU Kosher
91,13,32,61,47,64,12,40,53,42,2,28,29,13,92,24,73,34,36,75,60,83,35,86,62,11,54,17,8,16,66,96,80,51,16,4,15,58,63,67,57,80,13,8,OU Kosher
92,19,58,8,75,95,9,86,11,7,28,66,81,58,25,62,58,70,71,5,34,77,6,19,86,19,79,6,95,77,72,36,49,70,43,45,64,53,22,24,91,58,81,85,Glatt Kosher
93,21,10,2,46,58,1,99,68,49,13,63,40,2,28,49,28,3,77,91,22,35,16,74,68,66,89,49,81,22,89,45,29,2,65,20,33,87,28,23,45,52,98,70,Kosher LeMehadrin
94,68,85,35,57,12,94,63,90,24,76,50,49,58,40,43,33,42,24,29,12,48,74,17,98,19,67,20,76,30,31,57,10,89,67,12,53,72,43,85,11,33,47,54,Kosher LeMehadrin
95,52,61,25,81,46,53,33,3,94,38,34,76,90,97,64,21,85,83,98,3,59,70,14,29,34,86,91,82,96,78,80,35,30,19,66,28,90,30,94,44,90,37,53,Kosher LeMehadrin
96,2,6,95,79,84,55,21,46,74,63,37,15,97,100,13,54,21,84,16,31,97,76,87,88,45,94,9,92,48,49,0,55,72,41,21,52,19,36,71,92,54,67,72,OU Kosher
97,7,14,99,66,61,87,73,60,91,85,95,15,1,87,31,60,72,70,52,81,12,65,41,42,54,63,68,34,79,19,88,76,64,85,31,54,98,45,6,29,10,75,50,OU Kosher
98,93,17,78,15,85,72,62,7,1,28,61,85,39,33,100,12,93,11,73,64,9,66,62,24,100,7,28,32,80,42,92,81,40,58,10,4,15,27,97,82,27,75,85,Non Kosher
99,78,67,64,67,94,0,34,35,97,14,37,22,35,51,94,99,75,38,38,34,33,2,79,57,1,56,99,77,19,80,46,1,91,66,5,14,58,84,98,59,92,50,88,Glatt Kosher
100,8,41,69,73,46,59,72,88,99,87,80,57,60,39,42,63,96,29,95,41,25,80,16,3,38,90,63,8,48,14,46,40,33,69,76,43,5,37,88,4,46,90,38,Glatt Kosher
101,11,35,17,23,45,36,16,20,39,76,13,76,46,27,50,55,97,55,21,26,14,40,26,28,47,31,77,42,45,89,92,23,67,46,80,27,45,67,1,62,84,71,15,Glatt Kosher
102,32,12,24,99,59,59,28,9,52,18,54,38,33,35,64,34,83,91,87,62,63,100,52,91,25,48,86,71,59,63,63,55,32,18,73,63,49,54,71,35,57,22,30,OU Kosher
103,95,100,45,14,5,86,94,1,71,56,11,11,38,9,94,16,41,21,25,8,65,89,1,24,88,8,40,29,88,99,22,99,12,78,93,56,36,73,45,63,7,57,89,OU Kosher
104,9,8,4,47,23,0,71,62,53,31,67,73,57,72,55,93,60,71,31,6,99,74,13,1,28,48,68,26,56,100,100,16,62,53,20,86,1,80,43,74,33,78,50,Glatt Kosher
105,35,32,66,27,1,92,97,53,13,67,45,20,45,22,84,99,67,15,43,93,46,69,84,61,3,39,71,4,0,65,2,27,85,99,68,75,42,44,17,6,66,0,61,Glatt Kosher
106,14,29,54,84,59,51,66,24,93,43,72,78,43,50,54,19,89,98,23,20,13,0,29,78,46,59,17,14,38,15,73,39,56,72,47,36,35,34,20,83,41,47,72,Kosher LeMehadrin
107,75,47,94,77,51,1,89,62,74,79,85,74,82,61,99,53,9,30,72,66,92,73,17,10,71,7,94,60,98,21,63,28,75,12,11,79,49,35,73,2,29,0,62,Glatt Kosher
108,61,50,38,47,10,46,33,35,100,24,23,2,3,88,43,70,23,37,33,11,18,85,20,0,19,12,86,40,71,10,59,38,47,37,41,68,88,42,44,92,72,6,53,Glatt Kosher
109,62,48,77,49,49,24,40,26,39,86,22,38,55,63,60,86,65,42,72,41,7,13,98,97,24,82,19,36,66,26,71,54,71,98,74,58,26,60,16,82,39,66,9,OU Kosher
110,19,95,37,53,92,77,54,32,48,0,59,86,48,94,46,24,56,6,4,31,100,35,42,16,36,17,19,22,58,88,96,15,17,21,76,90,9,92,57,7,81,0,47,Kosher LeMehadrin
111,45,40,5,43,24,42,91,60,1,70,6,66,69,95,26,86,1,20,18,85,40,81,94,52,62,1,86,81,54,51,41,15,99,80,59,20,3,3,27,34,77,4,29,Glatt Kosher
112,89,88,60,1,92,35,91,77,2,46,46,3,26,60,92,77,91,0,46,6,48,25,73,60,3,31,84,6,36,29,27,25,64,36,14,76,52,81,78,68,86,90,2,Glatt Kosher
113,36,51,31,72,10,83,62,8,64,35,78,11,87,6,34,60,45,6,38,18,99,53,58,25,27,17,8,13,9,22,26,55,97,74,24,54,60,39,51,27,93,72,72,OU Kosher
114,62,91,71,66,27,8,85,30,59,62,90,3,26,84,39,59,40,90,63,10,80,10,77,14,68,92,58,4,23,22,76,98,18,39,22,67,92,36,60,44,56,14,2,OU Kosher
115,50,84,16,32,73,92,9,39,77,3,71,87,83,24,52,30,59,44,94,92,47,90,29,86,12,29,82,20,29,49,22,70,40,52,39,74,71,79,11,33,22,26,70,Non Kosher
116,66,34,54,28,7,78,38,93,11,71,68,80,49,47,99,78,60,73,87,99,75,23,77,89,22,17,20,55,62,16,30,57,41,71,20,88,28,28,28,24,14,15,47,Non Kosher
117,20,24,96,2,56,53,1,66,3,79,63,12,14,92,20,43,68,97,20,93,97,53,97,39,57,70,93,41,38,70,88,87,1,89,77,26,25,57,72,27,92,67,79,OU Kosher
118,3,64,55,11,15,98,4,82,8,94,47,68,16,21,18,30,70,44,32,22,99,94,53,13,90,99,1,32,72,92,2,41,82,34,25,96,88,39,21,90,80,1,90,Kosher LeMehadrin
119,98,63,48,39,2,33,66,61,8,57,84,39,87,88,64,18,3,9,3,85,40,36,96,21,57,1,25,19,12,46,12,90,83,77,84,9,85,24,27,50,75,82,95,OU Kosher
120,53,2,70,68,41,99,77,73,60,31,31,76,30,96,63,84,68,14,76,96,37,16,16,41,24,61,69,5,58,98,44,77,12,14,81,57,72,31,44,59,2,12,11,Non Kosher
121,19,4,40,37,51,61,1,62,84,6,92,72,50,88,46,0,85,38,88,34,29,49,26,93,50,52,91,94,70,58,73,39,8,43,45,67,80,52,1,41,76,2,30,Kosher LeMehadrin
122,81,13,23,41,46,76,86,45,84,57,1,14,69,73,45,82,28,8,82,82,90,47,65,44,29,76,71,9,21,14,84,16,12,6,66,98,33,89,9,35,37,21,14,Glatt Kosher
123,76,32,40,39,50,77,61,74,51,8,27,62,26,89,65,56,74,57,36,72,33,39,29,95,38,83,29,69,91,10,24,54,41,1,29,80,25,33,9,87,40,77,74,Non Kosher
124,6,41,67,66,5,3,29,84,88,22,39,70,43,35,59,98,9,27,48,41,62,60,88,19,31,97,65,42,28,6,45,28,75,84,12,61,52,57,69,8,36,94,3,Glatt Kosher
125,10,87,78,69,98,41,52,22,44,88,100,55,69,77,1,33,47,54,64,6,30,38,85,49,74,66,7,57,19,67,13,42,46,93,29,10,20,15,86,63,100,99,76,Kosher LeMehadrin
126,17,99,88,66,31,89,9,54,34,82,17,12,44,23,19,57,50,84,20,39,44,8,46,91,33,60,78,2,17,48,17,83,18,22,44,12,18,0,39,93,12,58,37,OU Kosher
127,73,16,8,43,65,69,88,68,64,93,38,43,27,27,17,93,83,16,42,10,25,71,23,55,95,48,54,79,11,32,20,68,76,88,89,25,53,95,26,76,91,52,46,OU Kosher
128,100,97,32,86,80,68,75,23,88,22,25,58,68,50,94,81,54,59,81,68,96,42,36,7,75,91,93,56,69,57,23,2,47,18,62,30,25,34,16,92,7,15,75,Glatt Kosher
129,78,16,91,15,66,96,39,11,92,62,77,87,86,5,71,77,19,43,1,52,84,31,44,44,60,25,20,71,22,7,17,27,55,68,97,70,32,12,89,55,56,78,48,Glatt Kosher
130,87,91,66,53,34,66,100,18,84,5,16,59,32,38,88,47,82,6,8,16,1,60,45,0,45,32,25,11,97,67,61,96,15,47,26,43,18,0,55,60,48,40,48,Non Kosher
131,9,59,19,80,50,24,72,42,54,72,87,73,85,88,71,78,85,42,58,42,82,8,34,81,33,98,56,70,81,97,94,10,39,90,29,61,38,2,54,75,34,9,76,Glatt Kosher
132,94,38,16,42,86,11,36,74,79,9,6,24,65,80,32,82,18,40,53,11,54,56,71,47,56,98,8,92,52,4,69,14,64,25,32,45,69,72,12,36,8,58,9,Glatt Kosher
133,91,27,91,86,8,37,30,7,50,32,17,28,36,53,98,58,35,92,11,74,83,10,13,76,50,45,15,61,34,75,52,48,17,3,49,36,5,35,87,58,37,38,37,Glatt Kosher
134,88,11,48,81,24,59,93,53,85,64,2,5,82,8,55,12,2,21,93,16,3,83,79,45,39,77,61,49,86,75,39,36,81,76,56,96,78,69,11,97,71,68,81,Kosher LeMehadrin
135,4,55,75,89,44,20,22,2,80,50,78,27,19,13,77,4,7,3,11,35,60,97,83,91,37,67,80,38,44,42,2,48,85,27,34,99,29,52,21,40,13,52,96,Kosher LeMehadrin
136,87,85,30,21,30,34,25,70,89,43,56,38,58,46,14,47,79,76,10,94,77,31,60,45,69,7,56,23,82,34,97,26,85,21,66,86,95,50,48,41,22,71,39,Kosher LeMehadrin
137,7,78,64,10,86,84,30,57,30,58,12,52,62,40,19,17,64,34,100,19,70,7,52,21,59,33,62,65,98,30,24,83,87,80,2,38,44,40,74,4,23,55,79,Non Kosher
138,10,85,95,28,59,2,73,3,76,54,94,13,6,50,75,16,11,43,83,10,97,60,33,67,64,98,64,29,7,56,63,22,73,84,72,93,12,1,0,15,35,24,5,Kosher LeMehadrin
139,97,74,19,11,19,74,81,11,80,67,30,78,68,51,99,60,65,41,84,47,46,89,63,35,18,85,54,56,73,19,43,37,72,89,75,56,76,59,31,64,85,17,83,Glatt Kosher
140,29,43,28,25,2,47,49,59,37,7,9,5,3,40,2,42,93,75,47,97,2,74,34,90,10,24,72,77,41,84,62,51,41,24,89,28,92,86,56,15,71,95,7,OU Kosher
